event_id,run_number,feature_acc_norm,device_name,temporal_water_emergency,timestamp,files,feature_pitch,platform,feature_roll,feature_gyr_norm,push_attempted,temporal_free_fall,file_count,push_success,temporal_impact,temporal_stable_duration_ms,state,type,ts,event_type,sync_triggered,feature_jerk,feature_stability,reason,push_sent,device_uid,snapshot_id
d2d1ad5d-c387-4472-95df-72fa3479d35e,,0.9950851884742807,Test27,False,2026-04-15T18:33:29.030000,,-0.4477546238760014,ios,-2.136525365082874,0.01326548162861137,True,False,,False,False,2338,STILL,,,GRACEFUL,True,0.006652404681767392,8.82818029315433,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,706ce8d7-a7f6-4088-aa3f-30c67fc2fb7f
f470bef1-a71e-4c58-9d47-051e7c745e1b,,0.48723751582745656,Test27,False,2026-04-15T18:33:26.549000,,-0.7493302233221639,ios,-1.9987812219017584,0.5222978372980809,True,True,,False,False,0,UNSTABLE,,,EMERGENCY,True,0.8414378281902819,9.845060321470626,free_fall,,b3895c34-8439-4fa7-8d03-4dfedf800f53,f46dffa3-f15c-4f27-8678-f80af140e48f
53c7beeb-8419-49c6-8d0a-9e52824c766a,,0.9933027726486275,Test27,False,2026-04-15T18:33:18.478000,,0.20783845078452448,ios,-1.9890371891513496,0.05066902836650536,True,False,,False,False,1533,STILL,,,GRACEFUL,True,0.01696243934654483,8.867366255717878,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,a3ad0812-715f-4b4a-bb6d-f737844b31a1
0eedcfa6-8992-4478-a263-8f1282699090,,0.4652865552991964,Test27,False,2026-04-15T18:33:14.036000,,-0.09954622904443014,ios,-1.5228292187832595,0.8041721329718273,True,True,,False,False,0,UNSTABLE,,,EMERGENCY,True,1.5033910916811428,10.148885577672631,free_fall,,b3895c34-8439-4fa7-8d03-4dfedf800f53,ed1b73a8-7cb9-4c4a-a8f8-335222333360
3d46df82-92e9-4507-bb99-6ab45ff69ef8,,0.36606274324824095,Test27,False,2026-04-15T18:33:13.892000,,-0.12647390040198028,ios,-1.512218852416678,0.9327591100353361,True,True,,False,False,0,UNSTABLE,,,EMERGENCY,True,1.5674170457847296,10.376696366787096,free_fall,,b3895c34-8439-4fa7-8d03-4dfedf800f53,462cb0bf-52dd-4a87-b555-2534af0463dd
7a5893d0-a32d-4536-93ee-d2fc786e2e57,,0.26104580118066406,Test27,False,2026-04-15T18:33:13.754000,,-0.15663227006142216,ios,-1.4995751467659384,1.0682023649079944,True,True,,False,False,0,UNSTABLE,,,EMERGENCY,True,1.2598861937375672,10.617156563727331,free_fall,,b3895c34-8439-4fa7-8d03-4dfedf800f53,352275ec-9436-40ca-9cbc-21a2c59fce82
1f9a31dc-08a5-4fbe-b299-ae83e6b3cf31,,0.17663342620024705,Test27,False,2026-04-15T18:33:13.617000,,-0.19112598143446433,ios,-1.483705412804713,1.1925942999427703,True,True,,False,False,0,UNSTABLE,,,EMERGENCY,True,-0.13694361692702342,10.825960873742524,free_fall,,b3895c34-8439-4fa7-8d03-4dfedf800f53,20a1f03a-c05f-40f8-a6ae-da4fad069ee6
fb5dc0e4-fdee-4a91-8b4f-b136ddbc00d9,,0.9816605132742452,Test27,False,2026-04-15T18:33:11.898000,,-0.18960576327661807,ios,-1.9687013203346764,0.0727832704101804,True,False,,False,False,22085,STILL,,,GRACEFUL,True,-0.000610487698425124,8.901122757135935,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,ff2a0559-db31-434c-bfc5-64e25996ff27
0d46e872-7ac1-4e24-be0b-d8be18db891f,,1.1463777453788968,Test27,False,2026-04-15T18:32:49.743000,,0.0553889532551754,ios,-2.0811768006369475,1.2317042503540219,True,False,,False,True,0,UNSTABLE,,,EMERGENCY,True,4.023790981442282,9.895326504975126,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,01936b6b-1232-4c78-9986-f48a57a7ec36
2a064ff0-8577-4fbb-adf6-634e6189009e,,1.026809751076235,Test27,False,2026-04-15T18:32:49.450000,,0.09903702945902124,ios,-2.046979154423073,0.6099171421665083,True,False,,False,True,0,UNSTABLE,,,EMERGENCY,True,5.517029035780373,9.393107391090275,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,005014e2-512d-47c2-be65-342770db83cc
bc0b1f6a-aff6-4af1-820c-d02a6256698e,,0.9989415733343052,Test27,False,2026-04-15T18:32:44.718000,,-0.07671891515175032,ios,-2.1208284010708303,0.27648073867580575,True,False,,False,False,734094,STILL,,,GRACEFUL,True,3.8089624528041854e-06,9.087539165341502,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,7a01c311-372f-44dc-9b2e-9236c25ebd2e
40e8cf26-4aa4-4ae7-a8bb-d53a492899ed,,0.9923424026482296,Test27,False,2026-04-15T18:20:28.158000,,0.16608417703209166,ios,-2.041592323122422,0.04268639616395196,True,False,,False,False,1534,STILL,,,GRACEFUL,True,0.0053011805920477936,8.860343993515722,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,eb763a64-87d6-4dba-a0d5-f9be7ed6a990
